Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
Running Scared,1986,60,61.182,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this... [More]","Gregory Hines, Billy Crystal, Jimmy Smits, Steven Baue",Peter Hyams
Equilibrium,2002,40,41.993,Equilibrium is a reheated mishmash of other sci-fi movies.,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If... [More]","Christian Bale, Emily Watson, Taye Diggs, Angus Macfadye",Kurt Wimm
Hero,2004,95,100.762,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the... [More],"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Che",Zhang Yimou
Road House,1989,39,41.986,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -... [More],"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazz",Rowdy Herrington
Unstoppable,2010,86,91.476,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel... [More]","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",Tony Sco
Shaft,1971,88,92.026,"This is the man that would risk his neck for his brother, man. Can you dig it?","haft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses... [More]","Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. Joh",Gordon Parks
The Villainess (Ak-Nyeo),2017,84,86.914,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"ce she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to... [More]","Ok-bin Kim, Kim Seo-hyung, Shin Ha-kyun, Bang Sung-ju",Jung Byung-gil
Highlander,1986,69,71.928,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,... [More]","Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brow",Russell Mulcah
Die Hard 2,1990,68,72.292,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in... [More]","Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnso",Renny Harlin
National Treasure,2004,46,50.848,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no... [More]","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Be",Jon Turteltaub
The Protector (Tom yum goong) (Warrior King),2005,53,55.433,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.","Kham's life is turned upside down when an international mafia syndicate, based in Australia, captures his two beloved elephants and... [More]","Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Bongkoo Kongmal",Prachya Pinkaew
Revenge,2018,92,97.08,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.","Jen (fearlessly embodied by Matilda Lutz, Rings) is enjoying a romantic getaway with her wealthy boyfriend which is suddenly disrupted... [More]","Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Coralie Fargea
El Mariachi,1993,93,94.587,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.","Filmed in two weeks on a budget of 7,000 dollars, El Mariachi was one of the singular pleasures of the... [More]","Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquard",Robert Rodriguez
A Touch of Zen,1969,96,98.514,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","According to this drama, set in 14th-century China, a state-run secret police organization made life a living hell for anyone... [More]","Feng Hsu, Chun Shih, Pai Ying, Tien Pe",King Hu
Top Gun,1986,54,59.11,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",Devil-may-care navy pilot Pete Mitchell (Tom Cruise) is sent to Miramar Naval Air Station for advanced training. Here he vies... [More],"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilme",Tony Sco
Con Air,1997,55,58.684,"Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.",Former war hero Cameron Poe (Nicolas Cage) is sentenced to eight years in prison when he accidentally kills a man... [More],"Nicolas Cage, John Cusack, John Malkovich, Steve Buscem",Simon Wes
The Expendables 2,2012,68,72.299,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","The Expendables are back and this time it's personal... Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham), Yin Yang (Jet... [More]","ylvester Stallone, Jason Statham, Jet Li, Dolph Lundgre",Simon Wes
The Mummy,1999,60,63.98,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Loosely adapted from the classic 1932 horror film starring Boris Karloff, The Mummy is set in Egypt, where over 3,000... [More]","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers
Mr. & Mrs. Smith,2005,60,67.125,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","John and Jane Smith are an ordinary suburban couple with an ordinary, lifeless suburban marriage. But each of them has... [More]","Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",oug Liman
Rush Hour,1998,60,63.715,A kick-ass addition to the cop-buddy film genre.,Brett Ratner directed this action-comedy that found box-office success by teaming Chris Tucker with Jackie Chan -- performing his own... [More],"Jackie Chan, Chris Tucker, Elizabeth Peña, Tom Wilkinso",Ratn
The Equalizer,2014,59,66.573,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and... [More]","Denzel Washington, Marton Csokas, Chloë Grace Moretz , David Harbou",Antoine Fuqua
Captain America: Civil War,2016,91,107.384,aptain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to... [More]","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebas","Anthony Russo, Joe Russo"
